City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
116,Namibe,AO,74.53,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
117,Kroonstad,ZA,54.28,clear sky,-27.6504,27.2349,Travel Inn Kroonstad
118,Bulgan,MN,41.72,overcast clouds,48.8125,103.5347,Unitel Булган салбар
120,Kitimat,CA,51.91,light rain,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
121,Tahta,EG,68.86,clear sky,26.7693,31.5021,فندق الزيات
122,Mporokoso,ZM,59.11,broken clouds,-9.3727,30.125,Government Guest House
123,Nelson Bay,AU,60.12,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
127,Nome,US,36.16,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
130,Hobart,AU,51.66,heavy intensity shower rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
132,Wembley,AU,61.0,clear sky,-31.9333,115.8,Cambridge Atrium
134,Constantine,DZ,51.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
135,Chadan,RU,52.48,broken clouds,51.2833,91.5833,Zharki
136,Jamestown,US,55.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
143,Sitka,US,48.09,scattered clouds,57.0531,-135.33,Westmark Sitka
144,Fereydun Kenar,IR,61.14,light rain,36.6864,52.5225,Khezer Shahr Tourist Hotel
145,Bell Ville,AR,63.07,broken clouds,-32.6259,-62.6887,Hotel Central
146,Teya,RU,44.24,broken clouds,60.3778,92.6267,
147,Pop,UZ,66.69,clear sky,40.8736,71.1089,Ramz Hotel Pap
148,Parana,AR,66.56,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
152,Fairbanks,US,51.76,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
154,Shenkursk,RU,40.73,overcast clouds,62.1091,42.896,"""Vaga"" hotel"
155,Arraial Do Cabo,BR,69.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
156,Aksu,CN,69.73,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
159,Qingdao,CN,58.6,overcast clouds,36.0986,120.3719,Le Meridien Qingdao
160,Castro,BR,53.58,clear sky,-24.7911,-50.0119,CHACARA BAILLY
161,Phalaborwa,ZA,63.68,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
162,Kamenka,RU,39.07,clear sky,51.3223,42.7678,
163,East London,ZA,67.64,overcast clouds,-33.0153,27.9116,Tu Casa
164,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
165,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
167,Mbaiki,CF,71.47,overcast clouds,3.8678,17.9892,Motel MBM
169,Hamilton,US,63.23,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
171,Mabaruma,GY,74.59,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
172,Nalut,LY,62.85,clear sky,30.3333,10.85,
178,Haines Junction,CA,46.35,overcast clouds,60.7522,-137.5108,Parkside Inn
179,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Hotel San Juan
180,Paris,FR,59.18,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
182,Lins,BR,62.02,clear sky,-21.6786,-49.7425,Blue Tree Thermas de Lins
185,Tuckahoe,US,66.34,mist,37.5901,-77.5564,The Westin Richmond
187,Sorland,NO,40.91,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
188,Yumen,CN,55.76,overcast clouds,40.2833,97.2,
191,Chilca,PE,64.69,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
193,Erenhot,CN,43.39,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
194,Jaroslaw,PL,55.8,overcast clouds,50.0162,22.6778,Hotel & Restauracja Coloseum
195,Palafrugell,ES,66.43,broken clouds,41.9174,3.1631,Hotel La Torre
196,Gilgit,PK,66.58,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
197,Tromso,NO,42.82,light rain,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
199,Priargunsk,RU,51.06,clear sky,50.3691,119.1012,24 Chasa
200,Mocuba,MZ,64.08,clear sky,-16.8392,36.9856,Phama Lodge
201,Kulu,TR,43.09,scattered clouds,39.0951,33.0799,Kapadokya Motel
